AllocationID,AssetID,EmployeeID,AllocationDate,ReturnDate
1,1,7152,2021-08-09,2024-02-01
2,2,398,2020-10-22,2022-03-13
3,3,3487,2020-04-22,2021-04-26
4,4,4455,2021-07-12,2024-02-17
5,5,3571,2020-09-22,2021-03-02
6,6,2096,2021-12-11,2025-11-26
7,7,182,2020-02-04,2021-05-21
8,8,4228,2022-05-08,2025-07-09
9,9,5602,2020-11-01,2021-03-17
10,10,8858,2023-10-05,2027-02-23
11,11,3024,2023-05-10,2027-03-15
12,12,9,2022-06-05,2025-08-13
13,13,3337,2023-12-29,2027-11-15
14,14,4029,2023-01-25,2025-10-15
15,15,2705,2022-08-20,2023-07-26
16,16,4972,2022-08-03,2024-10-30
17,17,3308,2022-07-17,2023-06-18
18,18,4585,2023-03-25,2024-06-28
19,19,5455,2022-07-04,2023-10-24
20,20,5237,2023-11-27,2026-12-12
21,21,256,2021-07-14,2023-11-21
22,22,3804,2022-09-29,2023-02-28
23,23,3270,2020-12-03,2022-12-11
24,24,1193,2023-02-05,2024-10-10
25,25,3750,2022-10-10,2023-08-26
26,26,2110,2021-04-01,2023-06-22
27,27,7485,2021-12-16,2022-12-07
28,28,6370,2021-07-02,2025-01-14
29,29,241,2022-06-17,2026-04-23
30,30,8919,2022-12-03,2023-08-23
31,31,6132,2023-06-01,2025-09-30
32,32,8850,2021-06-05,2022-06-20
33,33,1895,2021-06-07,2022-04-09
34,34,5386,2022-10-06,2023-10-07
35,35,3593,2022-12-12,2024-02-03
36,36,4354,2021-06-25,2023-10-29
37,37,204,2022-12-18,2024-12-03
38,38,4019,2022-01-13,2024-12-12
39,39,4638,2023-02-05,2026-01-13
40,40,7481,2020-10-20,2022-08-28
41,41,6286,2023-06-04,2023-12-12
42,42,8624,2023-05-05,2025-02-01
43,43,8154,2020-03-04,2020-11-30
44,44,1126,2023-10-15,2027-01-06
45,45,1624,2020-01-27,2022-02-15
46,46,7740,2020-01-25,2022-07-30
47,47,1023,2022-01-06,2022-06-09
48,48,1928,2023-09-27,2025-11-07
49,49,2889,2022-10-11,2025-02-02
50,50,1150,2021-02-23,2023-12-04
51,51,3816,2021-11-21,2024-10-17
52,52,7357,2022-07-19,2024-06-18
53,53,4131,2023-04-17,2024-06-09
54,54,740,2023-10-03,2027-06-20
55,55,7596,2021-09-20,2023-11-10
56,56,157,2022-03-06,2022-08-09
57,57,7349,2022-05-25,2023-08-17
58,58,6838,2022-04-30,2023-11-01
59,59,2755,2022-12-17,2025-12-17
60,60,7969,2020-06-07,2021-11-21
61,61,1424,2023-05-02,2025-11-19
62,62,6531,2022-01-11,2023-10-30
63,63,4095,2022-04-27,2024-11-11
64,64,3306,2020-02-08,2023-03-05
65,65,3162,2022-04-10,2022-08-03
66,66,8226,2022-08-09,2024-11-03
67,67,2804,2023-10-04,2027-01-11
68,68,5477,2023-09-06,2024-10-16
69,69,57,2022-02-20,2025-11-30
70,70,5997,2022-03-20,2025-05-31
71,71,7059,2023-04-01,2025-04-04
72,72,67,2022-03-14,2025-05-17
73,73,6369,2021-11-27,2023-01-18
74,74,7734,2020-12-28,2023-02-11
75,75,4630,2021-01-16,2022-04-20
76,76,7558,2020-10-27,2024-06-08
77,77,7434,2021-08-27,2024-07-17
78,78,4973,2021-01-06,2022-02-02
79,79,8386,2023-08-21,2024-11-17
80,80,5848,2020-12-15,2024-01-20
81,81,4235,2020-11-16,2023-11-29
82,82,157,2020-02-01,2023-11-20
83,83,6516,2022-01-14,2025-09-02
84,84,5426,2020-01-06,2021-06-24
85,85,4008,2023-06-10,2026-12-15
86,86,2549,2022-12-06,2026-11-12
87,87,3963,2020-12-16,2021-12-08
88,88,6903,2023-07-06,2024-11-04
89,89,1735,2023-03-30,2026-06-29
90,90,4091,2020-03-18,2021-08-26
91,91,4592,2021-07-28,2023-10-29
92,92,5947,2022-02-17,2025-12-14
93,93,5443,2020-06-19,2023-02-09
94,94,989,2023-04-25,2027-02-16
95,95,3731,2023-12-16,2026-02-26
96,96,4437,2022-12-11,2026-01-13
97,97,4016,2022-08-12,2025-08-24
98,98,8576,2020-09-04,2021-05-20
99,99,1887,2023-05-06,2024-09-09
100,100,3987,2022-07-06,2025-04-06
101,101,153,2021-04-28,2022-03-14
102,102,1621,2021-11-13,2025-04-27
103,103,177,2022-07-20,2025-08-16
104,104,8659,2023-12-24,2026-01-19
105,105,3317,2020-02-23,2021-06-27
106,106,7744,2022-11-06,2025-09-18
107,107,3893,2023-12-11,2025-04-14
108,108,2665,2021-07-01,2024-11-04
109,109,3726,2020-05-27,2024-02-04
110,110,4251,2022-03-11,2024-09-22
111,111,1170,2020-03-24,2020-06-28
112,112,8363,2023-11-21,2027-05-08
113,113,127,2023-01-14,2023-10-07
114,114,484,2022-01-11,2023-01-13
115,115,5216,2023-12-13,2024-11-21
116,116,6478,2023-01-24,2026-07-21
117,117,2156,2020-09-22,2023-06-02
118,118,6015,2021-12-15,2022-10-16
119,119,518,2023-02-20,2024-04-09
120,120,6180,2022-07-02,2024-09-11
121,121,3734,2020-08-14,2021-04-30
122,122,5597,2021-12-05,2022-10-06
123,123,3051,2021-03-31,2024-07-18
124,124,6829,2023-09-02,2026-02-08
125,125,1228,2021-07-09,2025-03-13
126,126,4929,2020-04-10,2020-12-07
127,127,7255,2023-11-23,2027-09-01
128,128,4133,2021-05-06,2024-10-30
129,129,5348,2021-08-22,2025-02-14
130,130,8291,2023-02-20,2023-07-30
131,131,8354,2022-01-26,2022-08-29
132,132,7626,2022-05-23,2024-11-16
133,133,2571,2020-08-16,2021-06-10
134,134,3569,2023-03-21,2025-01-12
135,135,5406,2021-09-28,2022-07-19
136,136,6844,2023-06-12,2024-03-26
137,137,4020,2021-11-17,2022-03-25
138,138,338,2021-12-07,2024-01-24
139,139,3737,2021-09-23,2024-07-23
140,140,3557,2022-09-29,2024-08-30
141,141,7019,2021-08-11,2022-07-02
142,142,3301,2023-08-05,2026-10-03
143,143,7326,2023-12-16,2024-06-05
144,144,5356,2020-01-20,2021-05-26
145,145,8525,2022-10-19,2023-11-10
146,146,4877,2023-09-26,2025-09-19
147,147,3153,2020-06-17,2021-03-25
148,148,632,2023-07-10,2025-02-01
149,149,3900,2022-12-27,2025-12-20
150,150,7277,2021-08-18,2024-11-01
151,151,3847,2022-09-26,2023-07-28
152,152,4855,2020-05-17,2023-12-25
153,153,7779,2021-01-02,2022-01-18
154,154,8480,2022-07-05,2023-05-11
155,155,8461,2021-08-24,2022-01-17
156,156,5602,2022-07-23,2024-12-16
157,157,6344,2021-10-06,2022-12-24
158,158,6052,2021-04-30,2024-01-11
159,159,6185,2023-11-21,2024-07-08
160,160,8049,2021-10-06,2022-10-10
161,161,8885,2023-01-19,2023-10-27
162,162,3182,2023-12-30,2026-05-16
163,163,8505,2023-06-24,2025-01-16
164,164,8627,2021-07-21,2023-04-25
165,165,4707,2021-03-25,2024-02-27
166,166,3610,2023-08-03,2025-03-18
167,167,4001,2023-05-01,2025-05-28
168,168,6483,2022-06-10,2024-02-16
169,169,1890,2022-06-22,2023-12-24
170,170,8881,2023-05-26,2025-09-28
171,171,4774,2023-01-24,2025-10-15
172,172,1175,2022-08-22,2026-02-02
173,173,1836,2020-03-22,2023-11-28
174,174,3497,2020-08-29,2022-05-08
175,175,4455,2021-01-17,2023-12-09
176,176,5076,2022-01-18,2025-12-18
177,177,13,2022-09-28,2025-04-29
178,178,2008,2023-12-11,2024-12-21
179,179,1817,2023-08-18,2027-04-23
180,180,6258,2023-02-03,2025-02-23
181,181,3322,2022-11-21,2024-08-13
182,182,1008,2023-12-01,2025-03-31
183,183,5312,2022-08-12,2024-03-26
184,184,8032,2022-10-28,2026-03-20
185,185,4070,2020-12-13,2021-05-12
186,186,2171,2023-03-10,2025-10-20
187,187,6624,2020-07-29,2021-10-30
188,188,2758,2023-06-26,2024-07-16
189,189,7487,2022-11-24,2026-08-22
190,190,5034,2023-07-31,2025-01-26
191,191,1347,2023-02-24,2023-06-29
192,192,335,2023-06-08,2027-05-08
193,193,6235,2020-10-07,2024-02-15
194,194,1388,2021-04-09,2024-07-05
195,195,3219,2023-03-24,2026-08-13
196,196,2182,2020-05-21,2021-04-27
197,197,2135,2023-01-03,2023-08-03
198,198,8019,2020-12-07,2024-07-23
199,199,126,2023-11-25,2027-04-26
200,200,1207,2022-01-20,2023-08-24
201,201,1003,2021-03-08,2024-05-12
202,202,935,2021-03-30,2023-05-17
203,203,8863,2022-02-05,2025-02-12
204,204,2516,2020-03-25,2020-09-20
205,205,5550,2022-09-29,2024-10-04
206,206,3259,2022-07-23,2025-06-09
207,207,5309,2020-07-16,2024-04-18
208,208,8280,2020-10-09,2022-05-22
209,209,7513,2023-07-13,2025-06-30
210,210,7507,2020-11-19,2022-11-08
211,211,2266,2023-11-16,2025-12-15
212,212,5870,2022-01-13,2023-10-23
213,213,3816,2023-09-08,2024-11-08
214,214,8853,2023-04-21,2026-04-21
215,215,6600,2022-11-29,2025-10-22
216,216,882,2022-01-25,2023-01-30
217,217,2721,2022-08-16,2024-09-12
218,218,5695,2021-05-25,2023-01-12
219,219,2157,2020-06-29,2022-11-08
220,220,3770,2021-02-09,2022-11-24
221,221,4297,2020-04-02,2021-09-13
222,222,4777,2021-06-10,2025-05-19
223,223,806,2023-10-12,2024-02-02
224,224,5121,2021-03-28,2021-09-04
225,225,3059,2020-04-12,2023-10-16
226,226,6203,2023-09-02,2024-03-17
227,227,885,2021-03-15,2024-02-07
228,228,2006,2023-01-31,2024-10-30
229,229,4689,2022-03-16,2025-12-31
230,230,934,2020-02-19,2020-11-24
231,231,5581,2023-05-14,2026-05-20
232,232,6451,2020-10-27,2024-03-23
233,233,7526,2023-04-03,2026-08-02
234,234,7718,2020-12-11,2024-03-04
235,235,3749,2020-01-03,2023-07-23
236,236,4340,2020-02-10,2022-07-12
237,237,3632,2020-01-03,2022-05-18
238,238,2064,2021-10-18,2023-08-18
239,239,7066,2021-01-10,2021-07-19
240,240,2144,2021-07-01,2024-11-23
241,241,4976,2022-01-29,2024-05-18
242,242,2339,2022-09-17,2023-11-28
243,243,8031,2022-05-07,2026-01-05
244,244,4601,2022-03-20,2024-12-09
245,245,8267,2023-01-21,2025-05-15
246,246,7795,2021-10-13,2025-05-21
247,247,6244,2021-11-25,2024-09-25
248,248,6214,2020-01-19,2021-12-31
249,249,6967,2020-06-12,2022-06-16
250,250,101,2021-04-27,2021-12-31
251,251,5520,2023-04-09,2024-08-23
252,252,2188,2023-10-07,2027-05-10
253,253,5852,2021-09-06,2024-05-14
254,254,8112,2020-03-22,2023-06-06
255,255,3269,2022-12-07,2024-05-03
256,256,1864,2021-10-17,2025-06-11
257,257,8467,2023-11-12,2026-01-29
258,258,7148,2020-05-05,2020-09-25
259,259,4927,2020-09-10,2021-03-05
260,260,3090,2022-09-29,2024-08-18
261,261,5964,2022-09-28,2025-06-12
262,262,7774,2022-05-01,2023-06-13
263,263,1404,2020-10-24,2022-09-27
264,264,7477,2022-12-24,2026-10-04
265,265,2412,2020-06-29,2021-11-12
266,266,5800,2022-02-08,2025-07-14
267,267,867,2022-03-20,2022-09-19
268,268,567,2023-01-18,2026-02-01
269,269,795,2023-11-20,2024-07-08
270,270,7391,2022-06-15,2025-08-27
271,271,2244,2022-06-03,2026-05-03
272,272,3523,2023-10-12,2025-07-26
273,273,4998,2022-02-25,2024-04-28
274,274,5226,2021-07-15,2025-07-07
275,275,5235,2020-05-20,2022-01-16
276,276,1880,2021-07-23,2024-02-05
277,277,8980,2023-01-09,2026-11-27
278,278,6224,2020-04-09,2023-04-12
279,279,7303,2020-11-29,2023-06-16
