AllocationID,AssetID,EmployeeID,AllocationDate,ReturnDate
1,1,898,2020-08-20,2020-12-09
2,2,3999,2022-07-07,2022-10-27
3,3,618,2023-07-13,
4,4,7799,2020-01-12,2020-07-13
5,5,5735,2023-12-18,2024-11-13
6,6,4337,2023-06-03,
7,7,2363,2021-04-20,
8,8,4558,2023-03-08,2024-01-07
9,9,5955,2021-08-19,2022-04-27
10,10,4645,2023-03-24,
11,11,7594,2022-12-21,
12,12,8690,2023-06-23,
13,13,404,2022-10-19,
14,14,1121,2021-10-05,2021-10-10
15,15,3819,2022-12-09,2023-02-16
16,16,985,2020-08-11,2021-02-15
17,17,7865,2020-08-01,2021-02-21
18,18,4613,2020-11-15,2021-05-27
19,19,8583,2021-09-16,
20,20,6458,2020-08-21,2021-01-04
21,21,177,2020-06-25,2020-12-15
22,22,5676,2023-12-12,
23,23,1761,2022-01-15,
24,24,626,2020-11-11,2021-06-15
25,25,74,2023-10-19,2024-07-15
26,26,4154,2020-07-01,2020-12-19
27,27,8919,2022-05-17,2022-09-10
28,28,3205,2021-02-20,
29,29,6110,2023-10-11,2023-11-19
30,30,1359,2020-10-04,2021-07-28
31,31,2806,2021-05-06,2022-02-25
32,32,2854,2021-01-27,
33,33,6648,2020-07-05,2021-05-21
34,34,858,2022-11-02,2022-11-06
35,35,1088,2021-03-30,2021-05-31
36,36,2304,2022-07-27,2022-12-27
37,37,765,2021-06-18,2022-04-25
38,38,5068,2022-01-05,2022-09-22
39,39,6908,2023-12-24,
40,40,8307,2023-01-03,
41,41,4451,2022-08-22,
42,42,7562,2020-04-21,2020-10-01
43,43,427,2023-03-26,2023-06-15
44,44,7897,2023-07-23,2023-11-21
45,45,7676,2020-02-18,
46,46,3455,2023-09-03,2024-05-07
47,47,3942,2020-06-01,2020-12-21
48,48,3477,2021-06-26,2022-01-12
49,49,2542,2020-04-03,2020-10-28
50,50,5395,2021-05-10,2022-01-15
51,51,3149,2020-06-12,
52,52,5675,2021-10-21,2022-02-11
53,53,3533,2022-11-03,2023-08-25
54,54,4841,2020-08-26,2021-08-06
55,55,6813,2022-05-25,2023-04-26
56,56,7414,2022-08-07,
57,57,717,2021-01-08,2021-10-19
58,58,2609,2020-06-17,
59,59,4506,2021-09-12,2022-08-14
60,60,8309,2020-05-22,2020-11-09
61,61,795,2020-12-28,2021-03-30
62,62,8778,2023-10-23,2024-07-09
63,63,2726,2021-06-03,2022-05-03
64,64,1535,2023-05-08,2024-03-21
65,65,5925,2023-02-01,2023-03-13
66,66,3325,2023-01-07,
67,67,447,2020-12-09,2021-09-03
68,68,1474,2021-06-17,2021-10-26
69,69,8950,2021-01-06,
70,70,4798,2020-07-24,
71,71,8072,2023-07-28,2024-04-03
72,72,7284,2022-09-25,2023-07-06
73,73,4853,2022-08-02,2023-01-18
74,74,812,2023-01-21,2023-05-25
75,75,3562,2022-08-22,2022-09-14
76,76,2456,2023-06-19,2023-09-23
77,77,8837,2021-07-07,2022-03-20
78,78,4579,2021-03-26,
79,79,7079,2022-09-05,
80,80,2369,2023-11-11,
81,81,6545,2022-09-08,2022-10-28
82,82,2765,2020-10-15,
83,83,2806,2022-05-05,
84,84,3989,2022-12-12,2023-10-02
85,85,5378,2020-01-07,2020-06-11
86,86,922,2020-03-20,2020-08-31
87,87,7639,2022-04-16,2022-09-09
88,88,6063,2023-05-04,
89,89,3816,2022-10-07,2023-01-23
90,90,2945,2021-05-24,2021-09-30
91,91,8358,2021-03-26,2021-10-09
92,92,4084,2021-11-21,2022-06-14
93,93,8948,2022-07-30,2022-10-20
94,94,8707,2022-07-24,2022-08-30
95,95,6956,2022-04-04,
96,96,7628,2021-07-02,2021-12-24
97,97,2489,2023-05-18,
98,98,130,2021-08-07,
99,99,7772,2021-01-27,
100,100,5596,2022-02-10,
101,101,5125,2020-03-28,2020-09-24
102,102,5293,2022-01-18,2022-11-08
103,103,7995,2021-01-22,
104,104,5322,2023-02-09,2023-06-21
105,105,2241,2022-11-13,
106,106,4698,2021-12-23,
107,107,2459,2021-03-05,2021-04-21
108,108,5988,2021-08-22,2022-05-09
109,109,1834,2023-07-08,2024-07-07
110,110,2101,2022-08-03,2023-03-10
111,111,5975,2023-08-31,2024-03-27
112,112,2866,2023-05-06,2023-11-22
113,113,4749,2022-12-28,2023-09-01
114,114,5897,2022-11-05,2023-07-18
115,115,1162,2020-09-05,2021-03-29
116,116,7686,2022-09-08,2023-01-31
117,117,2644,2021-10-21,2021-11-03
118,118,5696,2021-08-08,2021-11-19
119,119,2157,2022-04-13,2022-04-28
120,120,8868,2021-11-04,2022-05-27
121,121,3496,2021-04-21,
122,122,2694,2020-11-05,2021-05-17
123,123,8006,2020-11-12,2021-02-02
124,124,4972,2022-01-14,2022-12-21
125,125,8366,2023-06-14,2024-03-25
126,126,6520,2023-02-16,2023-09-15
127,127,6223,2020-11-09,2021-04-09
128,128,1186,2023-10-04,
129,129,8999,2021-11-25,2022-02-21
130,130,6464,2021-03-23,2021-09-26
131,131,725,2023-12-25,2024-09-10
132,132,1404,2021-11-13,2021-11-26
133,133,443,2021-08-24,2021-08-27
134,134,4708,2020-09-23,
135,135,7040,2020-02-08,
136,136,2873,2020-12-27,2021-12-06
137,137,5441,2022-10-14,2023-02-06
138,138,4292,2021-10-12,2022-05-28
139,139,4481,2023-06-25,
140,140,3843,2020-07-02,2021-02-27
141,141,362,2023-07-08,2024-04-03
142,142,7018,2023-11-27,2024-02-21
143,143,2017,2021-10-14,
144,144,8880,2022-01-07,2022-10-31
145,145,2130,2022-07-28,2023-04-29
146,146,4614,2021-12-21,
147,147,7926,2021-04-13,
