SalaryID,EmployeeID,BasicPay,Allowances,Deductions,NetPay,PaymentDate
1,1,116831.31,15325.29,14845.28,117311.32,2010-01-11
2,2,96052.66,17712.23,6293.11,107471.78,2018-05-26
3,3,95755.12,37150.83,6616.33,126289.62,2014-04-13
4,4,83303.87,35276.6,7603.42,110977.05,2013-09-08
5,5,116291.07,33779.32,6812.44,143257.95,2022-05-11
6,6,84870.33,39558.03,11066.01,113362.35,2022-09-03
7,7,91159.16,39759.64,13052.65,117866.15,2017-10-07
8,8,119449.79,29990.44,7622.99,141817.24,2023-07-12
9,9,113501.52,26894.59,5289.73,135106.38,2015-01-08
10,10,76380.25,16874.57,19854.61,73400.21,2013-03-10
11,11,67861.95,28697.13,5112.39,91446.69,2018-11-22
12,12,86697.49,17535.9,15672.62,88560.77,2019-01-02
13,13,96608.3,18790.88,18191.07,97208.11,2024-09-02
14,14,20796.41,6254.28,6616.72,20433.97,2013-07-11
15,15,68795.61,19614.6,16148.68,72261.53,2011-12-16
16,16,66410.05,22987.03,6029.63,83367.45,2013-07-28
17,17,39070.24,10285.98,9210.84,40145.38,2022-03-19
18,18,51680.22,12791.93,8681.4,55790.75,2018-07-19
19,19,29715.44,11421.08,8209.9,32926.62,2012-08-27
20,20,27572.21,6011.09,7056.27,26527.03,2023-09-28
21,21,72449.12,14342.27,10408.79,76382.6,2011-07-07
22,22,52318.13,27028.74,9808.95,69537.92,2010-04-19
23,23,87140.49,14078.36,5773.26,95445.59,2011-11-24
24,24,35298.3,11868.6,5577.59,41589.31,2019-12-31
25,25,35210.9,9971.88,6695.94,38486.84,2019-10-12
26,26,82446.94,18750.5,18170.17,83027.27,2018-04-17
27,27,84490.6,14518.13,16552.7,82456.03,2015-09-06
28,28,21536.83,6807.7,9465.43,18879.1,2017-11-17
29,29,69521.66,13070.06,18440.41,64151.31,2024-06-01
30,30,23588.42,8949.26,6783.34,25754.34,2020-06-06
31,31,33650.44,11280.39,6519.21,38411.62,2019-10-20
32,32,78859.28,28321.41,12681.15,94499.54,2015-05-18
33,33,54985.18,13833.57,8805.66,60013.09,2019-10-12
34,34,55621.47,14867.84,8913.56,61575.75,2020-04-27
35,35,54699.89,14741.51,5649.72,63791.68,2010-08-17
36,36,91344.71,10080.58,16664.88,84760.41,2015-04-19
37,37,45582.94,13919.08,7105.46,52396.56,2015-06-24
38,38,55998.81,24842.32,15629.16,65211.97,2022-12-31
39,39,40325.77,13180.29,7568.17,45937.89,2010-08-08
40,40,46823.29,10807.18,6136.11,51494.36,2020-03-23
41,41,56770.25,8455.33,7986.22,57239.36,2023-12-25
42,42,74430.29,23696.52,15929.54,82197.27,2018-01-25
43,43,21953.56,10510.87,8073.12,24391.31,2024-11-09
44,44,81249.9,22504.79,19113.64,84641.05,2010-06-17
45,45,21926.11,7674.52,6523.93,23076.7,2017-09-08
46,46,79590.76,20451.88,7377.65,92664.99,2017-07-27
47,47,73672.69,10332.32,14284.82,69720.19,2015-04-22
48,48,25898.18,13822.59,8068.44,31652.33,2012-04-03
49,49,26532.03,10073.43,7263.83,29341.63,2019-04-26
50,50,32619.04,6812.3,5981.12,33450.22,2017-09-17
51,51,82607.92,12292.39,9879.79,85020.52,2014-07-07
52,52,69694.98,25287.66,18646.11,76336.53,2010-08-31
53,53,20721.96,9702.47,5513.46,24910.97,2021-11-19
54,54,32195.43,6917.26,6227.79,32884.9,2015-11-15
55,55,55501.61,11199.32,5079.73,61621.2,2014-10-28
56,56,31221.88,6430.82,7042.31,30610.39,2011-04-08
